code,name,root_type,subtype,normal_balance,is_group,role_hint,parent_path,source_type,reconcile,description,source_id,flags
1010,Current Assets,asset,current_asset,debit,0,,,asset_current,0,,l10n_ng_current_assets,
1013,Account Receivable (PoS),asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ng_pos_receivable,
1101,Stock Valuation,asset,current_asset,debit,0,,,asset_current,0,,l10n_ng_stock_valuation,
1104,Cost of Production,asset,current_asset,debit,0,,,asset_current,1,,l10n_ng_cost_of_production,
1105,Work in Progress,asset,current_asset,debit,0,,,asset_current,1,,l10n_ng_wip,
1210,Account Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ng_receivable,
1211,Products to receive,asset,current_asset,debit,0,,,asset_current,1,,l10n_ng_to_receive_rec,
1220,Owner's Current Account,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ng_owner_current_account,
1280,Prepaid Expenses,asset,current_asset,debit,0,,,asset_current,0,,l10n_ng_prepaid_expenses,
1310,Tax Paid,asset,current_asset,debit,0,,,asset_current,0,,l10n_ng_tax_paid,
1320,Tax Receivable,asset,receivable,debit,0,receivables,,asset_receivable,1,,l10n_ng_tax_receivable,
1410,Prepayments,asset,prepayment,debit,0,,,asset_prepayments,0,,l10n_ng_prepayments,
1510,Fixed Asset,asset,fixed_asset,debit,0,,,asset_fixed,0,,l10n_ng_fixed_assets,
1910,Non-current assets,asset,non_current_asset,debit,0,,,asset_non_current,0,,l10n_ng_non_current_assets,
2010,Current Liabilities,liability,current_liability,credit,0,,,liability_current,0,,l10n_ng_current_liabilities,
201100,Credit Card,liability,credit_card,credit,0,,,liability_credit_card,0,,l10n_ng_credit_card,
2110,Account Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ng_payable,
2111,Bills to receive,liability,current_liability,credit,0,,,liability_current,1,,l10n_ng_to_receive_pay,
2120,Deferred Revenue,liability,current_liability,credit,0,,,liability_current,0,,l10n_ng_deferred_revenue,
2300,Salary Payable,liability,current_liability,credit,0,,,liability_current,1,,l10n_ng_salary_payable,
2301,Employee Payroll Taxes,liability,current_liability,credit,0,,,liability_current,1,,l10n_ng_employee_payroll_taxes,
2302,Employer Payroll Taxes,liability,current_liability,credit,0,,,liability_current,1,,l10n_ng_employer_payroll_taxes,
2510,Tax Received,liability,current_liability,credit,0,,,liability_current,0,,l10n_ng_tax_received,
2520,Tax Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ng_tax_payable,
252001,Withholding Tax on Purchases,liability,current_liability,credit,0,,,liability_current,0,,l10n_ng_withholding,
252002,Withholding Tax on Purchases - Transition Account,liability,current_liability,credit,0,,,liability_current,1,,l10n_ng_withholding_transitional,
252003,Withholding Tax Payable,liability,payable,credit,0,payables,,liability_payable,1,,l10n_ng_withholding_payable,
2910,Non-current Liabilities,liability,non_current_liability,credit,0,,,liability_non_current,0,,l10n_ng_non_current_liabilities,
3010,Capital,equity,equity,credit,0,,,equity,0,,l10n_ng_capital,
3020,Dividends,equity,equity,credit,0,,,equity,0,,l10n_ng_dividends,
4000,Product Sales,income,income,credit,0,income,,income,0,,l10n_ng_income,default_for_income
4410,Foreign Exchange Gain,income,income,credit,0,,,income,0,,l10n_ng_income_currency_exchange,
4420,Cash Difference Gain,income,income,credit,0,,,income,0,,l10n_ng_cash_diff_income,
4430,Cash Discount Loss,expense,expense,debit,0,,,expense,0,,l10n_ng_cash_discount_loss,
4500,Other Income,income,other_income,credit,0,,,income_other,0,,l10n_ng_other_income,
5000,Cost of Goods Sold,expense,direct_cost,debit,0,,,expense_direct_cost,0,,l10n_ng_cost_of_goods_sold,
6000,Expenses,expense,expense,debit,0,expense,,expense,0,,l10n_ng_expense,default_for_expense
6100,Stock Variation,expense,expense,debit,0,,,expense,0,,l10n_ng_stock_variation,
6110,Purchase of Equipments,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_invest,
6120,Rent,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_rent,
6200,Bank Fees,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_finance,
6300,Salary Expenses,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_salary,
6410,Foreign Exchange Loss,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_currency_exchange,
6420,Cash Difference Loss,expense,expense,debit,0,,,expense,0,,l10n_ng_cash_diff_expense,
6430,Cash Discount Gain,income,income,credit,0,,,income,0,,l10n_ng_cash_discount_gain,
9610,RD Expenses,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_rd,
9620,Sales Expenses,expense,expense,debit,0,,,expense,0,,l10n_ng_expense_sales,
999998,Accumulated Retained Earnings,equity,retained_earnings,credit,0,,,equity_unaffected,0,,l10n_ng_retained_earnings,
999999,Profit or Loss Appropriation,equity,retained_earnings,credit,0,,,equity_unaffected,0,,l10n_ng_profit_or_loss,
